node,metric,values
0,deg,"[0.48484848484848486, 0.48484848484848486, 0.48484848484848486, 0.48484848484848486, 0.48484848484848486]"
0,bet,"[0.43763528138528146, 0.43763528138528146, 0.43763528138528146, 0.43763528138528146, 0.43763528138528146]"
0,clo,"[0.5689655172413793, 0.5689655172413793, 0.5689655172413793, 0.5689655172413793, 0.5689655172413793]"
0,clu,"[0.15, 0.15, 0.15, 0.15, 0.15]"
1,deg,"[0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727]"
1,bet,"[0.053936688311688304, 0.053936688311688304, 0.053936688311688304, 0.053936688311688304, 0.053936688311688304]"
1,clo,"[0.4852941176470588, 0.4852941176470588, 0.4852941176470588, 0.4852941176470588, 0.4852941176470588]"
1,clu,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2,deg,"[0.30303030303030304, 0.30303030303030304, 0.30303030303030304, 0.30303030303030304, 0.30303030303030304]"
2,bet,"[0.14365680615680618, 0.14365680615680618, 0.14365680615680618, 0.14365680615680618, 0.14365680615680618]"
2,clo,"[0.559322033898305, 0.559322033898305, 0.559322033898305, 0.559322033898305, 0.559322033898305]"
2,clu,"[0.24444444444444444, 0.24444444444444444, 0.24444444444444444, 0.24444444444444444, 0.24444444444444444]"
3,deg,"[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182]"
3,bet,"[0.011909271284271283, 0.011909271284271283, 0.011909271284271283, 0.011909271284271283, 0.011909271284271283]"
3,clo,"[0.4647887323943662, 0.4647887323943662, 0.4647887323943662, 0.4647887323943662, 0.4647887323943662]"
3,clu,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]"
4,deg,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]"
4,bet,"[0.0006313131313131313, 0.0006313131313131313, 0.0006313131313131313, 0.0006313131313131313, 0.0006313131313131313]"
4,clo,"[0.3793103448275862, 0.3793103448275862, 0.3793103448275862, 0.3793103448275862, 0.3793103448275862]"
4,clu,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]"
5,deg,"[0.12121212121212122, 0.12121212121212122, 0.12121212121212122, 0.12121212121212122, 0.12121212121212122]"
5,bet,"[0.02998737373737374, 0.02998737373737374, 0.02998737373737374, 0.02998737373737374, 0.02998737373737374]"
5,clo,"[0.38372093023255816, 0.38372093023255816, 0.38372093023255816, 0.38372093023255816, 0.38372093023255816]"
5,clu,"[0.5, 0.5, 0.5, 0.5, 0.5]"
6,deg,"[0.12121212121212122, 0.12121212121212122, 0.12121212121212122, 0.12121212121212122, 0.12121212121212122]"
6,bet,"[0.029987373737373736, 0.029987373737373736, 0.029987373737373736, 0.029987373737373736, 0.029987373737373736]"
6,clo,"[0.38372093023255816, 0.38372093023255816, 0.38372093023255816, 0.38372093023255816, 0.38372093023255816]"
6,clu,"[0.5, 0.5, 0.5, 0.5, 0.5]"
7,deg,"[0.12121212121212122, 0.12121212121212122, 0.12121212121212122, 0.12121212121212122, 0.12121212121212122]"
7,bet,"[0.0, 0.0, 0.0, 0.0, 0.0]"
7,clo,"[0.44, 0.44, 0.44, 0.44, 0.44]"
7,clu,"[1.0, 1.0, 1.0, 1.0, 1.0]"
